순번,개설대학,개설학과전공,학수번호,분반,교과목명,이수구분,선택영역,"학년
(학기)",학점,이론,실습,"수업
유형","학점교류
수강가능",요일 및 강의시간,강의실,"메인
교수명",주관학과,수강대상및유의사항,강좌유형,사이버강좌,강의언어,"외국인
전용","내국인
전용"
1,대양휴머니티칼리지,대양휴머니티칼리지,009352,001,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 09:00~10:30,세101,노지현,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
2,대양휴머니티칼리지,대양휴머니티칼리지,009352,002,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 09:00~10:30,세102,정운규,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
3,대양휴머니티칼리지,대양휴머니티칼리지,009352,003,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 10:30~12:00,세102,정운규,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
4,대양휴머니티칼리지,대양휴머니티칼리지,009352,004,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 09:00~10:30,세103,이서현,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
5,대양휴머니티칼리지,대양휴머니티칼리지,009352,005,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 10:30~12:00,세103,이서현,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
6,대양휴머니티칼리지,대양휴머니티칼리지,009352,006,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 16:30~18:00,세201,XU WENXIA,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
7,대양휴머니티칼리지,대양휴머니티칼리지,009352,007,사고와표현1,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 10:30~12:00,세101,노지현,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
8,대양휴머니티칼리지,대양휴머니티칼리지,009353,001,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세103,양윤실,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
9,대양휴머니티칼리지,대양휴머니티칼리지,009353,002,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 13:30~15:00,세102,XU WENXIA,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
10,대양휴머니티칼리지,대양휴머니티칼리지,009353,003,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세102,XU WENXIA,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
11,대양휴머니티칼리지,대양휴머니티칼리지,009353,004,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세203,정영교,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
12,대양휴머니티칼리지,대양휴머니티칼리지,009353,005,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 15:00~16:30,세202,신은옥,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
13,대양휴머니티칼리지,대양휴머니티칼리지,009353,006,사고와표현2,공통교양필수,학문기초,1,3.0,3,0,이론,,화 목 13:30~15:00,세202,신은옥,국어국문학과,"외국인대상과목, 고급(TOPIK Level 4-6)",,,한국어,Y,
14,대양휴머니티칼리지,대양휴머니티칼리지,009354,001,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세204,우보의,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
15,대양휴머니티칼리지,대양휴머니티칼리지,009354,002,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세101,이현주,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
16,대양휴머니티칼리지,대양휴머니티칼리지,009354,003,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 10:30~12:00,세204,우보의,국어국문학과,"외국인대상과목, 기초(Beginner)",,,영어,Y,
17,대양휴머니티칼리지,대양휴머니티칼리지,009354,004,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세103,이지은,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
18,대양휴머니티칼리지,대양휴머니티칼리지,009354,005,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 10:30~12:00,세102,김서형,국어국문학과,"외국인대상과목, 초급(TOPIK Level 1-2)",,,영어,Y,
19,대양휴머니티칼리지,대양휴머니티칼리지,009354,006,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 09:00~10:30,세203,정운규,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
20,대양휴머니티칼리지,대양휴머니티칼리지,009354,007,한국의언어와문화1,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 10:30~12:00,세205,정영교,국어국문학과,"외국인대상과목, 중급(TOPIK Level 3-4)",,,한국어,Y,
21,대양휴머니티칼리지,대양휴머니티칼리지,009355,001,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세203,나은선,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
22,대양휴머니티칼리지,대양휴머니티칼리지,009355,002,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세102,김서형,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
23,대양휴머니티칼리지,대양휴머니티칼리지,009355,003,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 15:00~16:30,세203,나은선,국어국문학과,"외국인대상과목, 초급(TOPIK Level 2)",,,영어,Y,
24,대양휴머니티칼리지,대양휴머니티칼리지,009355,004,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세204,우보의,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
25,대양휴머니티칼리지,대양휴머니티칼리지,009355,005,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 15:00~16:30,세102,김서형,국어국문학과,"외국인대상과목, 중급(TOPIK Level 2-3)",,,한국어,Y,
26,대양휴머니티칼리지,대양휴머니티칼리지,009355,006,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 13:30~15:00,세205,이현주,국어국문학과,"외국인대상과목, 고급(TOPIK Level 4-6)",,,한국어,Y,
27,대양휴머니티칼리지,대양휴머니티칼리지,009355,007,한국의언어와문화2,공통교양필수,학문기초,1,3.0,3,0,이론,,월 수 15:00~16:30,세101,정영교,국어국문학과,"외국인대상과목, 고급(TOPIK Level 4-6)",,,한국어,Y,
28,대양휴머니티칼리지,대양휴머니티칼리지,009356,001,한국전통문화의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,월 수 10:30~12:00,세202,시지은,대양휴머니티칼리지,외국인대상강좌(한국어과정),,,한국어,Y,
29,대양휴머니티칼리지,대양휴머니티칼리지,009356,002,한국전통문화의이해,공통교양필수,인성과창의력,1,3.0,3,0,이론,,월 수 13:30~15:00,세202,시지은,대양휴머니티칼리지,외국인대상강좌(한국어과정),,,한국어,Y,
